District_code,State_name,District_name,Type_of_bathing_facility_Enclosure_without_roof,Not_having_bathing_facility_within_the_premises,Not_having_latrine_facility_within_the_premises,Main_source_of_drinking_water_Un_covered_well
1,JAMMU_AND_KASHMIR,Kupwara,3667,40416,44123,11127
2,JAMMU_AND_KASHMIR,Badgam,3959,15834,10642,699
3,JAMMU_AND_KASHMIR,Leh(Ladakh),920,10473,1781,64
4,JAMMU_AND_KASHMIR,Kargil,330,6325,482,1
5,JAMMU_AND_KASHMIR,Punch,3421,69089,70470,17702
6,JAMMU_AND_KASHMIR,Rajouri,4487,101530,104506,17991
7,JAMMU_AND_KASHMIR,Kathua,18841,70464,90118,8616
8,JAMMU_AND_KASHMIR,Baramula,4892,24891,28142,2813
9,JAMMU_AND_KASHMIR,Bandipore,2029,12871,13219,723
10,JAMMU_AND_KASHMIR,Srinagar,2302,3185,2448,38
11,JAMMU_AND_KASHMIR,Ganderbal,1879,10082,10107,151
12,JAMMU_AND_KASHMIR,Pulwama,3940,19492,25493,212
13,JAMMU_AND_KASHMIR,Shupiyan,1382,8412,14426,217
14,JAMMU_AND_KASHMIR,Anantnag,5789,44877,51493,1024
15,JAMMU_AND_KASHMIR,Kulgam,2742,28230,34785,354
16,JAMMU_AND_KASHMIR,Doda,2424,51904,54409,2915
17,JAMMU_AND_KASHMIR,Ramban,1756,41071,41793,3588
18,JAMMU_AND_KASHMIR,Kishtwar,1120,31908,33057,930
19,JAMMU_AND_KASHMIR,Udhampur,3121,72020,74546,9401
20,JAMMU_AND_KASHMIR,Reasi,2168,43637,45939,4765
21,JAMMU_AND_KASHMIR,Jammu,70235,70651,134732,6884
22,JAMMU_AND_KASHMIR,Samba,20487,19255,41899,3488
23,HIMACHAL_PRADESH,Chamba,5918,55680,48216,131
24,HIMACHAL_PRADESH,Kangra,29333,106432,113703,4712
25,HIMACHAL_PRADESH,Lahul_AND_Spiti,313,1749,1370,1
26,HIMACHAL_PRADESH,Kullu,9243,29416,38489,568
27,HIMACHAL_PRADESH,Mandi,12209,44956,35509,1899
28,HIMACHAL_PRADESH,Hamirpur,4844,18159,10386,1443
29,HIMACHAL_PRADESH,Una,17728,22431,42761,2205
30,HIMACHAL_PRADESH,Bilaspur,3495,19340,22867,2143
31,HIMACHAL_PRADESH,Solan,5651,17492,30436,2249
32,HIMACHAL_PRADESH,Sirmaur,7172,23002,35731,2064
33,HIMACHAL_PRADESH,Shimla,11414,27414,52807,2187
